Fold,Algorithm,TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Precision,Recall,F1,Accuracy,Error_rate,BACC,TSS,HSS,BS,BSS,AUC
1,LSTM,15.0,42.0,8.0,12.0,27.0,50.0,0.5555555555555556,0.84,0.16,0.4444444444444444,0.6521739130434783,0.5555555555555556,0.6,0.7402597402597403,0.2597402597402597,0.6977777777777778,0.39555555555555555,0.40950920245398775,0.17084621347098203,0.24966874098559078,0.8037037037037037
2,LSTM,12.0,43.0,7.0,15.0,27.0,50.0,0.4444444444444444,0.86,0.14,0.5555555555555556,0.631578947368421,0.4444444444444444,0.5217391304347826,0.7142857142857143,0.2857142857142857,0.6522222222222223,0.3044444444444444,0.3267090620031797,0.18942475545819984,0.16807453695432084,0.762962962962963
3,LSTM,15.0,42.0,8.0,12.0,27.0,50.0,0.5555555555555556,0.84,0.16,0.4444444444444444,0.6521739130434783,0.5555555555555556,0.6,0.7402597402597403,0.2597402597402597,0.6977777777777778,0.39555555555555555,0.40950920245398775,0.18932038575403373,0.1685329132328398,0.7451851851851852
4,LSTM,16.0,47.0,3.0,11.0,27.0,50.0,0.5925925925925926,0.94,0.06,0.4074074074074074,0.8421052631578947,0.5925925925925926,0.6956521739130435,0.8181818181818182,0.18181818181818177,0.7662962962962963,0.5325925925925925,0.5715421303656598,0.13505386826489457,0.40686341856106667,0.8807407407407407
5,LSTM,18.0,38.0,12.0,9.0,27.0,50.0,0.6666666666666666,0.76,0.24,0.3333333333333333,0.6,0.6666666666666666,0.631578947368421,0.7272727272727273,0.2727272727272727,0.7133333333333334,0.42666666666666664,0.4160346695557963,0.17849868794974022,0.21606020677480753,0.782962962962963
6,LSTM,12.0,43.0,7.0,15.0,27.0,50.0,0.4444444444444444,0.86,0.14,0.5555555555555556,0.631578947368421,0.4444444444444444,0.5217391304347826,0.7142857142857143,0.2857142857142857,0.6522222222222223,0.3044444444444444,0.3267090620031797,0.17724906697228165,0.22154835697877195,0.7814814814814814
7,LSTM,11.0,46.0,4.0,16.0,27.0,50.0,0.4074074074074074,0.92,0.08,0.5925925925925926,0.7333333333333333,0.4074074074074074,0.5238095238095238,0.7402597402597403,0.2597402597402597,0.6637037037037037,0.32740740740740737,0.36468646864686466,0.1835148097575774,0.19403014292394327,0.7851851851851852
8,LSTM,12.0,38.0,12.0,15.0,27.0,50.0,0.4444444444444444,0.76,0.24,0.5555555555555556,0.5,0.4444444444444444,0.47058823529411764,0.6493506493506493,0.35064935064935066,0.6022222222222222,0.20444444444444443,0.20980615735461802,0.21856957343834515,0.04007481413633451,0.6985185185185184
9,LSTM,16.0,38.0,12.0,10.0,26.0,50.0,0.6153846153846154,0.76,0.24,0.38461538461538464,0.5714285714285714,0.6153846153846154,0.5925925925925926,0.7105263157894737,0.2894736842105263,0.6876923076923077,0.3753846153846154,0.3685800604229607,0.17177643492457295,0.23678408605820545,0.813076923076923
10,LSTM,10.0,39.0,11.0,16.0,26.0,50.0,0.38461538461538464,0.78,0.22,0.6153846153846154,0.47619047619047616,0.38461538461538464,0.425531914893617,0.6447368421052632,0.35526315789473684,0.5823076923076923,0.16461538461538464,0.17258064516129032,0.21253420918660346,0.05569415979859893,0.6815384615384615
average,LSTM,13.7,41.6,8.4,13.1,26.8,50.0,0.5111111111111111,0.8319999999999999,0.16799999999999998,0.48888888888888893,0.6290563364934074,0.5111111111111111,0.5583231648740881,0.7199419002050581,0.2800580997949419,0.6715555555555556,0.34311111111111114,0.3575666660421524,0.1826788005177231,0.19573313764044797,0.7735356125356125
