Fold,Algorithm,TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Precision,Recall,F1,Accuracy,Error_rate,BACC,TSS,HSS,BS,BSS,AUC
1,Random Forest,19.0,43.0,7.0,8.0,27.0,50.0,0.7037037037037037,0.86,0.14,0.2962962962962963,0.7307692307692307,0.7037037037037037,0.7169811320754716,0.8051948051948052,0.19480519480519476,0.7818518518518518,0.5637037037037037,0.5685468808367575,0.1328155844155844,0.41669362962962975,0.9007407407407407
2,Random Forest,14.0,44.0,6.0,13.0,27.0,50.0,0.5185185185185185,0.88,0.12,0.48148148148148145,0.7,0.5185185185185185,0.5957446808510638,0.7532467532467533,0.24675324675324672,0.6992592592592592,0.3985185185185185,0.42378889326506497,0.17104675324675328,0.2487879999999999,0.8166666666666665
3,Random Forest,15.0,41.0,9.0,12.0,27.0,50.0,0.5555555555555556,0.82,0.18,0.4444444444444444,0.625,0.5555555555555556,0.5882352941176471,0.7272727272727273,0.2727272727272727,0.6877777777777778,0.3755555555555556,0.38540478905359177,0.1872,0.17784533333333308,0.7666666666666666
4,Random Forest,19.0,48.0,2.0,8.0,27.0,50.0,0.7037037037037037,0.96,0.04,0.2962962962962963,0.9047619047619048,0.7037037037037037,0.7916666666666666,0.8701298701298701,0.1298701298701299,0.8318518518518518,0.6637037037037037,0.6994535519125683,0.11479740259740259,0.49582681481481483,0.9118518518518517
5,Random Forest,17.0,45.0,5.0,10.0,27.0,50.0,0.6296296296296297,0.9,0.1,0.37037037037037035,0.7727272727272727,0.6296296296296297,0.6938775510204082,0.8051948051948052,0.19480519480519476,0.7648148148148148,0.5296296296296297,0.5531914893617021,0.14339999999999997,0.37020844444444456,0.87
6,Random Forest,14.0,42.0,8.0,13.0,27.0,50.0,0.5185185185185185,0.84,0.16,0.48148148148148145,0.6363636363636364,0.5185185185185185,0.5714285714285714,0.7272727272727273,0.2727272727272727,0.6792592592592592,0.35851851851851846,0.37446808510638296,0.16623246753246754,0.2699316296296297,0.817037037037037
7,Random Forest,15.0,43.0,7.0,12.0,27.0,50.0,0.5555555555555556,0.86,0.14,0.4444444444444444,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.7532467532467533,0.24675324675324672,0.7077777777777778,0.41555555555555557,0.4340425531914894,0.17709220779220777,0.2222372592592592,0.788148148148148
8,Random Forest,18.0,40.0,10.0,9.0,27.0,50.0,0.6666666666666666,0.8,0.2,0.3333333333333333,0.6428571428571429,0.6666666666666666,0.6545454545454545,0.7532467532467533,0.24675324675324672,0.7333333333333334,0.4666666666666666,0.46272493573264784,0.1669181818181818,0.26692007407407414,0.814074074074074
9,Random Forest,19.0,41.0,9.0,7.0,26.0,50.0,0.7307692307692307,0.82,0.18,0.2692307692307692,0.6785714285714286,0.7307692307692307,0.7037037037037037,0.7894736842105263,0.21052631578947367,0.7753846153846153,0.5507692307692307,0.540785498489426,0.15595263157894737,0.30709046153846187,0.8465384615384615
10,Random Forest,13.0,42.0,8.0,13.0,26.0,50.0,0.5,0.84,0.16,0.5,0.6190476190476191,0.5,0.5531914893617021,0.7236842105263158,0.2763157894736842,0.6699999999999999,0.33999999999999997,0.3564516129032258,0.19409473684210526,0.13762215384615406,0.7369230769230769
average,Random Forest,16.3,42.9,7.1,10.5,26.8,50.0,0.6082621082621082,0.858,0.142,0.3917378917378917,0.6991916416916417,0.6082621082621082,0.6481619441729873,0.7707963089542037,0.22920369104579627,0.7331310541310542,0.4662621082621083,0.47988582898528576,0.16095499658236503,0.29131638005698013,0.8268646723646723
