Fold,Algorithm,TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Precision,Recall,F1,Accuracy,Error_rate,BACC,TSS,HSS,BS,BSS,AUC
1,SVM (Linear),16.0,44.0,6.0,11.0,27.0,50.0,0.5925925925925926,0.88,0.12,0.4074074074074074,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.7792207792207793,0.22077922077922074,0.7362962962962962,0.47259259259259256,0.49361702127659574,0.1551919574299437,0.3184199143687879,0.8311111111111111
2,SVM (Linear),14.0,45.0,5.0,13.0,27.0,50.0,0.5185185185185185,0.9,0.1,0.48148148148148145,0.7368421052631579,0.5185185185185185,0.6086956521739131,0.7662337662337663,0.23376623376623373,0.7092592592592593,0.4185185185185185,0.4491255961844197,0.1768347555575678,0.22336795133272624,0.8044444444444445
3,SVM (Linear),15.0,43.0,7.0,12.0,27.0,50.0,0.5555555555555556,0.86,0.14,0.4444444444444444,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.7532467532467533,0.24675324675324672,0.7077777777777778,0.41555555555555557,0.4340425531914894,0.17273687162074763,0.24136525048932367,0.8066666666666666
4,SVM (Linear),15.0,48.0,2.0,12.0,27.0,50.0,0.5555555555555556,0.96,0.04,0.4444444444444444,0.8823529411764706,0.5555555555555556,0.6818181818181818,0.8181818181818182,0.18181818181818177,0.7577777777777778,0.5155555555555555,0.5635627530364372,0.12205014852605753,0.46397382917704066,0.9274074074074075
5,SVM (Linear),15.0,47.0,3.0,12.0,27.0,50.0,0.5555555555555556,0.94,0.06,0.4444444444444444,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.8051948051948052,0.19480519480519476,0.7477777777777778,0.4955555555555556,0.5367027677496992,0.15603720481744246,0.31470771306472867,0.837037037037037
6,SVM (Linear),17.0,44.0,6.0,10.0,27.0,50.0,0.6296296296296297,0.88,0.12,0.37037037037037035,0.7391304347826086,0.6296296296296297,0.68,0.7922077922077922,0.20779220779220775,0.7548148148148148,0.5096296296296297,0.5276073619631901,0.14075382114888738,0.3818300699320347,0.8688888888888889
7,SVM (Linear),13.0,47.0,3.0,14.0,27.0,50.0,0.48148148148148145,0.94,0.06,0.5185185185185185,0.8125,0.48148148148148145,0.6046511627906976,0.7792207792207793,0.22077922077922074,0.7107407407407407,0.42148148148148146,0.46505925623212097,0.16216382202393154,0.28780051794082195,0.8237037037037037
8,SVM (Linear),18.0,39.0,11.0,9.0,27.0,50.0,0.6666666666666666,0.78,0.22,0.3333333333333333,0.6206896551724138,0.6666666666666666,0.6428571428571429,0.7402597402597403,0.2597402597402597,0.7233333333333334,0.44666666666666666,0.43918426802621996,0.16153396685041416,0.2905667485510329,0.8037037037037037
9,SVM (Linear),19.0,38.0,12.0,7.0,26.0,50.0,0.7307692307692307,0.76,0.24,0.2692307692307692,0.6129032258064516,0.7307692307692307,0.6666666666666666,0.75,0.25,0.7453846153846153,0.49076923076923074,0.46911764705882353,0.1458718079788906,0.3518803362414833,0.8738461538461539
10,SVM (Linear),13.0,44.0,6.0,13.0,26.0,50.0,0.5,0.88,0.12,0.5,0.6842105263157895,0.5,0.5777777777777777,0.75,0.25,0.69,0.38,0.40625,0.18827116317006964,0.16349673963821376,0.7576923076923077
average,SVM (Linear),15.5,43.9,6.1,11.3,26.8,50.0,0.5786324786324786,0.8779999999999999,0.12200000000000003,0.4213675213675213,0.7331053130941134,0.5786324786324786,0.6394439373200027,0.7733766233766234,0.2266233766233766,0.7283162393162392,0.45663247863247863,0.47842692247189955,0.15814455191239524,0.30374090707361934,0.8334501424501426
